segment_value,transformed_feature,base_feature,importance
Flat,cat__Mouza_Name_Balidanga,Mouza_Name,0.002290212782099843
Flat,cat__Mouza_Name_Ranihati,Mouza_Name,0.0022890830878168344
Flat,cat__Mouza_Name_Sandhipur,Mouza_Name,0.002283320762217045
Flat,cat__Mouza_Name_Burdwan,Mouza_Name,0.002259851898998022
Flat,cat__Mouza_Name_Fuljhore,Mouza_Name,0.0022482029162347317
Flat,"cat__Transaction_Name_[0307] Mortgage, Mortgage without Posse. in f/o Financial Institution/Bank",Transaction_Name,0.0022276730742305517
Flat,cat__nearest_road_surface_Unmetalled,nearest_road_surface,0.0021923889871686697
Flat,cat__GP_DHULAGARI,GP,0.002181336050853133
Flat,cat__Road_code_0023,Road_code,0.002176377223804593
Flat,cat__GP_BELDUBI,GP,0.0021592918783426285
Flat,num__property_geometry_perimeter,property_geometry_perimeter,0.00213515292853117
Flat,num__property_shape_compactness,property_shape_compactness,0.002133114030584693
Flat,num__registration_dayofweek,registration_dayofweek,0.0021188666578382254
Flat,num__property_record_count,property_record_count,0.002103958046063781
Flat,"cat__Transaction_Name_[0501] Partition, Partition",Transaction_Name,0.002083472441881895
Flat,cat__Mouza_Name_Bikihakola,Mouza_Name,0.002061221981421113
Flat,num__presentation_is_afternoon,presentation_is_afternoon,0.0020474258344620466
Flat,cat__Mouza_Name_Sankarpur,Mouza_Name,0.0020355265587568283
Flat,cat__nearest_facility_group_religious_tourism,nearest_facility_group,0.0020187064073979855
Flat,cat__Road_Name_Steel Park Road,Road_Name,0.0020132435020059347
Flat,cat__GP_MALANDIGHI,GP,0.0020081382244825363
Flat,num__facility_group_recreation_count_1km,facility_group_recreation_count_1km,0.0019572547171264887
Flat,cat__Mouza_Name_Arrah,Mouza_Name,0.001861112774349749
Flat,cat__Road_code_0127,Road_code,0.0018554837442934513
Flat,cat__nearest_road_category_Rural Road,nearest_road_category,0.0018440240528434515
Flat,cat__Zone_no_2,Zone_no,0.0018427146133035421
Flat,cat__Mouza_Name_Radhanagar,Mouza_Name,0.0018419038970023394
